"","year","mean","se","lcl","ucl","species","colony","sp_col2"
"162",2013,0.8146924,0.0474353,0.7036935,0.890576,"Black-legged kittiwake","Røst","Black-legged kittiwake-Røst"
"163",2014,0.8303276,0.0787115,0.6207898,0.936016,"Black-legged kittiwake","Røst","Black-legged kittiwake-Røst"
"164",2015,0.6840429,0.0611099,0.5543413,0.7902779,"Black-legged kittiwake","Røst","Black-legged kittiwake-Røst"
"165",2016,0.7651639,0.0532611,0.6457115,0.8534804,"Black-legged kittiwake","Røst","Black-legged kittiwake-Røst"
"166",2017,0.7942171,0.0496302,0.6803428,0.8749795,"Black-legged kittiwake","Røst","Black-legged kittiwake-Røst"
"167",2018,0.7450042,0.0457521,0.6456806,0.8240714,"Black-legged kittiwake","Røst","Black-legged kittiwake-Røst"
"168",2019,0.8128732,0.039441,0.7232372,0.8783611,"Black-legged kittiwake","Røst","Black-legged kittiwake-Røst"
"169",1991,0.8250308,0.0534118,0.6954248,0.9068712,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"170",1992,0.9391793,0.0413652,0.7888021,0.9845782,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"171",1993,0.9539362,0.0308821,0.8393086,0.9879676,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"172",1994,0.9356871,0.0411639,0.7919606,0.9823334,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"173",1996,0.9385974,0.0603081,0.6628305,0.9916568,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"174",1998,0.7220651,0.0562945,0.5998718,0.8182485,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"175",2001,0.7614291,0.075063,0.5867688,0.8776581,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"176",2002,0.9593919,0.0821039,0.2752301,0.9993201,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"177",2003,0.7659533,0.0874205,0.5572,0.8948619,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"178",2004,0.7571631,0.0804181,0.5695319,0.8802116,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"179",2005,0.8848583,0.0491587,0.7490534,0.9518899,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"180",2006,0.9005228,0.0583089,0.7165225,0.970079,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"181",2007,0.742046,0.0715796,0.5802216,0.8568754,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"182",2008,0.5497647,0.0774664,0.3980269,0.6927767,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"183",2009,0.8135854,0.0780429,0.6141776,0.9228737,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"184",2010,0.9413729,0.0554516,0.6914378,0.9913836,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"185",2011,0.8029539,0.0846318,0.5881808,0.9208002,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"186",2012,0.9240958,0.0602117,0.6935665,0.9849593,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"187",2013,0.9297286,0.060942,0.6801076,0.9880002,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"188",2015,0.8765191,0.0709379,0.6626791,0.9624745,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"189",2016,0.9628978,0.0415372,0.7265986,0.9960697,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
